section,subsection,shapefile,heading,lookup_value,intensity,image,text,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,26,5,,This location is within 5 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,25,5,,"This location is within 5 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,up
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,24,5,,"This location is within 5 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,23,5,,This location is within 5 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,22,0,,This location is farther than 5 miles from the nearest active fault.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,21,5,,"This location is within 5 miles of the Bitterroot fault. Movement along this fault is possible, but scientists think this fault may slip without creating ground shaking.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,20,4,,"This location is within 4 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,19,4,,This location is within 4 miles of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,18,4,,This location is within 4 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,17,4,,"This location is within 4 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,16,4,,"This location is within 4 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,15,4,,This location is within 4 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,14,0,,This location is farther than 5 miles from the nearest active fault.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,13,4,,"This location is within 4 miles of the Bitterroot fault. Movement along this fault is possible, but scientists think this fault may slip without creating ground shaking.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,12,3,,"This location is within 3 miles of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,11,3,,This location is within 3 miles of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,10,3,,This location is within 3 miles of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,9,3,,"This location is within 3 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,8,3,,"This location is within 3 miles of the Mission fault that runs along the Mission Mountains. Small earthquakes have occurred near this fault in in 2011, 2000, 1997.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,7,3,,This location is within 3 miles of the Jocko fault which runs from Big Knife creek to Finley Creek. It is not known to produce earthquakes.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,6,0,,This location is farther than 5 miles from the nearest active fault.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,5,3,,"This location is within 3 miles of the Bitterroot fault. Movement along this fault is possible, but scientists think this fault may slip without creating ground shaking.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,4,1,,"This location is within 1 mile of the Bitterroot fault. Movement along this fault is possible, but scientists think this fault may slip without creating ground shaking.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,3,1,,"This location is within 1 mile of a fault near Ovando, MT. It is not known to produce earthquakes.",,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,2,1,,This location is within 1 mile of the Swan fault that runs along the Swan Range. Small earthquakes have occurred near this fault in the past.,,,
What to Expect,Intensity,EQ_Fault_Buffer,Distance from Fault,1,1,,This location is within 1 mile of the Ninemile fault that runs from Missoula along Ninemile Creek for 43 miles. Small earthquakes have occurred near this fault in the past.,,,
,,,,,,,,,,
What to Expect,Flood Zones,Flood_FEMA_DFRIM_2015,Flood Zones,A,75,0,"This area is likely to flood once in the next ten years. Springtime in Missoula is the time of year to be flood aware. To check up on the Clark Fork, Bitterroot or other rivers nearby check out this link.",,,
What to Expect,Flood Zones,Flood_FEMA_DFRIM_2015,Flood Zones,AE,75,0,"This area is likely to flood once in the next ten years. Springtime in Missoula is the time of year to be flood aware. To check up on the Clark Fork, Bitterroot or other rivers nearby check out this link.",,,
What to Expect,Flood Zones,Flood_FEMA_DFRIM_2015,Flood Zones,AE FLOODWAY,85,0,"This area is likely to flood once in the next ten years. Springtime in Missoula is the time of year to be flood aware. To check up on the Clark Fork, Bitterroot or other rivers nearby check out this link.",,,
What to Expect,Flood Zones,Flood_FEMA_DFRIM_2015,Flood Zones,AH,75,0,"This area is likely to flood once in the next ten yearsSpringtime in Missoula is the time of year to be flood aware. To check up on the Clark Fork, Bitterroot or other rivers nearby check out this link. Water will begin pooling in this area and be between 1 and 3 feet deep",,,
What to Expect,Flood Zones,Flood_FEMA_DFRIM_2015,Flood Zones,AO,75,0,"This  area is likely to flood once in the next ten years.Springtime in Missoula is the time of year to be flood aware. To check up on the Clark Fork, Bitterroot or other rivers nearby check out this link.The water level is between 0 and 3 feet deep. ",,,
What to Expect,Flood Zones,Flood_FEMA_DFRIM_2015,Flood Zones,AREA NOT INCLUDED,0,0,No information is available for flooding in this area.,,,
